Project,JNI files,% of affected files EILC,TMC,TMS,UNMD,UNMI,UP,ASMRV,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO
ADI-master,2.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,100.00,100.00,50.00,50.00
android-tree-sitter-main,9.00,11.11,33.33,22.22,0.00,33.33,0.00,0.00,0.00,11.11,11.11,0.00,33.33,22.22,22.22,0.00
Android-Zbar-JNI-Example-master,4.00,25.00,75.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,100.00,100.00,0.00
AndroidDevWithCpp-master,13.00,30.77,0.00,76.92,15.38,38.46,7.69,0.00,0.00,7.69,23.08,0.00,76.92,23.08,23.08,0.00
AndroidJNIDemo-master,6.00,16.67,16.67,0.00,0.00,83.33,0.00,0.00,0.00,0.00,16.67,0.00,66.67,100.00,100.00,0.00
Break_it_all-main,2.00,0.00,100.00,0.00,0.00,50.00,50.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00
dedekind-MKL-master,3.00,0.00,66.67,0.00,0.00,0.00,0.00,33.33,0.00,0.00,33.33,0.00,100.00,33.33,0.00,0.00
DevSlashLirc-master,3.00,0.00,66.67,0.00,66.67,66.67,0.00,0.00,0.00,0.00,33.33,0.00,66.67,33.33,0.00,0.00
extension_sdk_demo-master,5.00,0.00,0.00,80.00,0.00,20.00,80.00,0.00,0.00,0.00,80.00,0.00,120.00,20.00,20.00,0.00
faiss-center-master,1.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
FumoCement-main,15.00,0.00,0.00,100.00,13.33,13.33,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00
gdal-warp-bindings-master,1.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00
GrandPlan-main,1.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00
hello-jniCallback-master,8.00,0.00,0.00,87.50,0.00,37.50,12.50,0.00,0.00,0.00,37.50,0.00,87.50,50.00,50.00,12.50
Intel_SGX_Proj-master,8.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,62.50,37.50,0.00
ipc-master,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00,100.00,0.00
janot-master,7.00,0.00,14.29,71.43,14.29,14.29,14.29,0.00,0.00,0.00,14.29,0.00,14.29,28.57,28.57,0.00
JavaCAN-javacan-1.2,1.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00
JavaCAN-master,5.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00
JavaNativeUtils-master,7.00,57.14,57.14,0.00,0.00,57.14,14.29,0.00,0.00,57.14,14.29,0.00,57.14,14.29,0.00,14.29
jazzer-0.9,4.00,25.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,25.00,25.00,0.00
jdetector-master,5.00,40.00,20.00,40.00,0.00,80.00,0.00,0.00,0.00,40.00,0.00,0.00,120.00,60.00,60.00,0.00
